tmdb_id,imdb_id,title,release_date,runtime,budget_nominal,revenue_nominal,genre_primary,genre_secondary,vote_average,vote_count
931285,tt17490712,Mortal Kombat II,2026-05-06,116,80000000,128857238,Action,Fantasy,7.985,1431
936075,tt11378946,Michael,2026-04-22,128,250000000,934009960,Music,Drama,8.65,2566
1226863,tt28650488,The Super Mario Galaxy Movie,2026-04-01,98,110000000,1000843925,Family,Comedy,8.2,2654
1304313,tt32612507,Lee Cronin's The Mummy,2026-04-15,133,22000000,90452113,Horror,Mystery,8.048,1862
687163,tt12042730,Project Hail Mary,2026-03-15,157,200000000,681404846,Science Fiction,Adventure,8.7,5159
1327819,tt26443616,Hoppers,2026-03-04,104,150000000,372010783,Adventure,Animation,8.2,1620
83533,tt1757678,Avatar: Fire and Ash,2025-12-17,198,350000000,1490477656,Science Fiction,Adventure,7.587,3474
1290821,tt32357218,Shelter,2026-01-28,107,50000000,53933639,Action,Crime,7.665,1248
157336,tt0816692,Interstellar,2014-11-05,169,165000000,746606706,Adventure,Drama,8.5,40036
350,tt0458352,The Devil Wears Prada,2006-06-29,109,35000000,326588371,Drama,Comedy,7.434,13740
1084242,tt26443597,Zootopia 2,2025-11-26,108,150000000,1868208796,Animation,Adventure,7.7,2955
39254,tt0433035,Real Steel,2011-09-28,127,110000000,299300000,Action,Science Fiction,7.108,9228
299536,tt4154756,Avengers: Infinity War,2018-04-25,149,300000000,2052415039,Adventure,Action,8.237,32121
1159559,tt27047903,Scream 7,2026-02-25,114,45000000,213835967,Horror,Mystery,6.176,1044
744275,tt13069986,After We Fell,2021-09-01,99,14000000,21753705,Drama,Romance,7.003,2746
840464,tt14850054,Greenland 2: Migration,2026-01-07,98,90000000,44856736,Adventure,Thriller,6.44,1213
1242898,tt31227572,Predator: Badlands,2025-11-05,107,105000000,184500000,Action,Science Fiction,7.792,3111
1368166,tt27543632,The Housemaid,2025-12-18,131,35000000,399644671,Mystery,Thriller,7.254,2449
460465,tt0293429,Mortal Kombat,2021-04-07,110,20000000,84426031,Action,Fantasy,7.047,6789
1325734,tt33071426,The Drama,2026-03-26,105,28000000,140892471,Romance,Comedy,6.969,1048
4258,tt0795461,Scary Movie 5,2013-04-11,88,20000000,78613981,Comedy,N/A,4.8,3058
1171145,tt32430579,Crime 101,2026-02-11,141,90000000,72900246,Crime,Thriller,6.998,1083
155,tt0468569,The Dark Knight,2008-07-16,152,185000000,1004558444,Action,Crime,8.5,35919
1246049,tt31434030,Dracula,2025-07-30,130,52000000,42404858,Horror,Fantasy,7.2,1270
24428,tt0848228,The Avengers,2012-04-25,143,220000000,1518815515,Science Fiction,Action,8.045,38401
1579,tt0472043,Apocalypto,2006-12-07,138,40000000,120654337,Action,Drama,7.639,6420
301528,tt1979376,Toy Story 4,2019-06-19,100,175000000,1073841394,Family,Comedy,7.462,10579
1266127,tt33978029,Ready or Not: Here I Come,2026-03-19,108,14000000,42212563,Thriller,Horror,7.694,1060
1198994,tt8036976,Send Help,2026-01-22,113,40000000,94041481,Horror,Thriller,7.05,1783
337167,tt4477536,Fifty Shades Freed,2018-01-17,105,55000000,371985018,Drama,Romance,6.672,8362
1184918,tt29623480,The Wild Robot,2024-09-12,102,78000000,331982078,Family,Animation,8.314,6149
249397,tt2382009,Nymphomaniac: Vol. II,2013-12-25,124,2350000,4934725,Drama,Mystery,6.713,3190
634649,tt10872600,Spider-Man: No Way Home,2021-12-15,148,200000000,2019206586,Action,Adventure,7.934,22072
803796,tt14205554,KPop Demon Hunters,2025-06-20,96,100000000,24619953,Fantasy,Music,8.021,2892
19995,tt0499549,Avatar,2009-12-16,162,237000000,2923706026,Science Fiction,Action,7.606,34071
